Date,Daily Max 8-hour CO Concentration,units_CO,Daily Mean PM2.5 Concentration,units_PM,Daily Max 8-hour Ozone Concentration,units_O3
01/27/2019,1,ppm,11,ug/m3 LC,0.036,ppm
01/27/2019,1,ppm,15.1,ug/m3 LC,0.036,ppm
01/28/2019,0.4,ppm,9.4,ug/m3 LC,0.036,ppm
01/29/2019,0.3,ppm,12,ug/m3 LC,0.038,ppm
01/30/2019,0.3,ppm,4.2,ug/m3 LC,0.037,ppm
01/30/2019,0.3,ppm,8.8,ug/m3 LC,0.037,ppm
01/31/2019,0.3,ppm,10.1,ug/m3 LC,0.038,ppm
02/01/2019,0.4,ppm,14.4,ug/m3 LC,0.04,ppm
02/02/2019,0.7,ppm,11.7,ug/m3 LC,0.031,ppm
02/02/2019,0.7,ppm,16,ug/m3 LC,0.031,ppm
02/03/2019,0.9,ppm,20.7,ug/m3 LC,0.035,ppm
02/04/2019,0.8,ppm,19.5,ug/m3 LC,0.046,ppm
02/05/2019,1.1,ppm,9.1,ug/m3 LC,0.037,ppm
02/05/2019,1.1,ppm,13.1,ug/m3 LC,0.037,ppm
02/06/2019,1.2,ppm,15.8,ug/m3 LC,0.038,ppm
02/07/2019,0.3,ppm,13.9,ug/m3 LC,0.033,ppm
02/08/2019,0.3,ppm,7.8,ug/m3 LC,0.043,ppm
02/08/2019,0.3,ppm,12,ug/m3 LC,0.043,ppm
02/09/2019,0.2,ppm,7.5,ug/m3 LC,0.039,ppm
02/10/2019,0.2,ppm,10.7,ug/m3 LC,0.037,ppm
02/11/2019,0.3,ppm,6.7,ug/m3 LC,0.023,ppm
02/11/2019,0.3,ppm,12,ug/m3 LC,0.023,ppm
02/12/2019,0.3,ppm,5.5,ug/m3 LC,0.023,ppm
02/13/2019,0.3,ppm,6.5,ug/m3 LC,0.045,ppm
02/14/2019,0.4,ppm,3.4,ug/m3 LC,0.04,ppm
02/14/2019,0.4,ppm,7.1,ug/m3 LC,0.04,ppm
02/15/2019,0.3,ppm,11.5,ug/m3 LC,0.044,ppm
02/16/2019,0.3,ppm,10.3,ug/m3 LC,0.038,ppm
02/17/2019,0.3,ppm,6.4,ug/m3 LC,0.031,ppm
02/17/2019,0.3,ppm,11,ug/m3 LC,0.031,ppm
02/18/2019,0.3,ppm,7.7,ug/m3 LC,0.038,ppm
02/19/2019,0.2,ppm,8.9,ug/m3 LC,0.036,ppm
02/20/2019,0.2,ppm,2.8,ug/m3 LC,0.034,ppm
02/20/2019,0.2,ppm,7,ug/m3 LC,0.034,ppm
02/21/2019,0.6,ppm,6.7,ug/m3 LC,0.016,ppm
02/22/2019,0.7,ppm,9.3,ug/m3 LC,0.038,ppm
02/23/2019,0.2,ppm,2.2,ug/m3 LC,0.034,ppm
02/23/2019,0.2,ppm,7,ug/m3 LC,0.034,ppm
02/24/2019,0.3,ppm,6.5,ug/m3 LC,0.045,ppm
02/25/2019,0.3,ppm,5.2,ug/m3 LC,0.047,ppm
02/26/2019,0.7,ppm,7.6,ug/m3 LC,0.044,ppm
02/26/2019,0.7,ppm,10.8,ug/m3 LC,0.044,ppm
02/27/2019,0.5,ppm,14.4,ug/m3 LC,0.023,ppm
02/28/2019,0.3,ppm,15.6,ug/m3 LC,0.037,ppm
03/01/2019,0.2,ppm,6,ug/m3 LC,0.027,ppm
03/01/2019,0.2,ppm,11.2,ug/m3 LC,0.027,ppm
03/02/2019,0.3,ppm,6.5,ug/m3 LC,0.036,ppm
03/03/2019,0.3,ppm,10.1,ug/m3 LC,0.031,ppm
03/04/2019,0.2,ppm,6.6,ug/m3 LC,0.043,ppm
03/04/2019,0.2,ppm,10.2,ug/m3 LC,0.043,ppm
03/05/2019,0.3,ppm,8.7,ug/m3 LC,0.039,ppm
03/06/2019,0.4,ppm,8.9,ug/m3 LC,0.043,ppm
03/07/2019,0.6,ppm,7,ug/m3 LC,0.043,ppm
03/07/2019,0.6,ppm,13.1,ug/m3 LC,0.043,ppm
03/08/2019,0.3,ppm,13.5,ug/m3 LC,0.038,ppm
03/09/2019,0.3,ppm,15,ug/m3 LC,0.039,ppm
03/10/2019,0.2,ppm,9.4,ug/m3 LC,0.032,ppm
03/10/2019,0.2,ppm,13.6,ug/m3 LC,0.032,ppm
03/11/2019,0.3,ppm,6.7,ug/m3 LC,0.046,ppm
03/12/2019,0.3,ppm,6.2,ug/m3 LC,0.049,ppm
03/13/2019,0.5,ppm,7.2,ug/m3 LC,0.051,ppm
03/13/2019,0.5,ppm,10.5,ug/m3 LC,0.051,ppm
03/14/2019,0.3,ppm,14.1,ug/m3 LC,0.054,ppm
03/15/2019,0.2,ppm,10.5,ug/m3 LC,0.04,ppm
03/16/2019,0.4,ppm,3.6,ug/m3 LC,0.048,ppm
03/16/2019,0.4,ppm,6,ug/m3 LC,0.048,ppm
03/17/2019,0.5,ppm,8.5,ug/m3 LC,0.05,ppm
03/18/2019,0.5,ppm,10.5,ug/m3 LC,0.05,ppm
03/19/2019,0.2,ppm,6,ug/m3 LC,0.05,ppm
03/19/2019,0.2,ppm,10.3,ug/m3 LC,0.05,ppm
03/20/2019,0.2,ppm,11.1,ug/m3 LC,0.045,ppm
03/21/2019,0.3,ppm,8.9,ug/m3 LC,0.049,ppm
03/22/2019,0.3,ppm,4.1,ug/m3 LC,0.048,ppm
03/23/2019,0.5,ppm,NA,NA,0.052,ppm
03/24/2019,0.6,ppm,NA,NA,0.059,ppm
03/25/2019,0.3,ppm,10.1,ug/m3 LC,0.052,ppm
03/26/2019,0.2,ppm,NA,NA,0.047,ppm
03/27/2019,0.2,ppm,4,ug/m3 LC,0.051,ppm
03/28/2019,0.3,ppm,5.7,ug/m3 LC,0.053,ppm
03/28/2019,0.3,ppm,5.6,ug/m3 LC,0.053,ppm
03/29/2019,0.3,ppm,12.1,ug/m3 LC,0.059,ppm
03/30/2019,0.3,ppm,13.8,ug/m3 LC,0.054,ppm
03/31/2019,0.2,ppm,3.9,ug/m3 LC,0.046,ppm
03/31/2019,0.2,ppm,4.7,ug/m3 LC,0.046,ppm
04/01/2019,0.2,ppm,2.9,ug/m3 LC,0.048,ppm
04/02/2019,0.2,ppm,6.9,ug/m3 LC,0.037,ppm
04/03/2019,0.5,ppm,8.6,ug/m3 LC,0.056,ppm
04/04/2019,0.4,ppm,11.4,ug/m3 LC,0.061,ppm
04/05/2019,0.2,ppm,8.1,ug/m3 LC,0.042,ppm
04/06/2019,0.3,ppm,5.2,ug/m3 LC,0.041,ppm
04/07/2019,0.3,ppm,10.5,ug/m3 LC,0.038,ppm
04/08/2019,0.3,ppm,6.7,ug/m3 LC,0.037,ppm
04/09/2019,0.4,ppm,5,ug/m3 LC,0.04,ppm
04/10/2019,0.5,ppm,5.9,ug/m3 LC,0.057,ppm
04/11/2019,0.3,ppm,6.3,ug/m3 LC,0.057,ppm
04/12/2019,0.2,ppm,4.3,ug/m3 LC,0.037,ppm
04/12/2019,0.2,ppm,4.9,ug/m3 LC,0.037,ppm
04/13/2019,0.2,ppm,2.9,ug/m3 LC,0.03,ppm
04/14/2019,0.2,ppm,3.7,ug/m3 LC,0.034,ppm
04/15/2019,0.2,ppm,3.1,ug/m3 LC,0.051,ppm
04/15/2019,0.2,ppm,3.4,ug/m3 LC,0.051,ppm
04/16/2019,0.2,ppm,3.6,ug/m3 LC,0.055,ppm
04/17/2019,0.3,ppm,8.2,ug/m3 LC,0.059,ppm
04/18/2019,0.3,ppm,8.3,ug/m3 LC,0.052,ppm
04/18/2019,0.3,ppm,9.7,ug/m3 LC,0.052,ppm
04/19/2019,0.2,ppm,2,ug/m3 LC,0.039,ppm
04/20/2019,0.2,ppm,3.2,ug/m3 LC,0.039,ppm
04/21/2019,0.2,ppm,2.8,ug/m3 LC,0.033,ppm
04/21/2019,0.2,ppm,2.9,ug/m3 LC,0.033,ppm
04/22/2019,0.4,ppm,3.7,ug/m3 LC,0.043,ppm
04/23/2019,0.7,ppm,6.5,ug/m3 LC,0.053,ppm
04/24/2019,0.4,ppm,11.9,ug/m3 LC,0.057,ppm
04/24/2019,0.4,ppm,13,ug/m3 LC,0.057,ppm
04/25/2019,0.4,ppm,13.2,ug/m3 LC,0.058,ppm
04/26/2019,0.4,ppm,8.1,ug/m3 LC,0.047,ppm
04/27/2019,0.3,ppm,4.2,ug/m3 LC,0.055,ppm
04/28/2019,0.4,ppm,10,ug/m3 LC,0.053,ppm
04/29/2019,0.4,ppm,9.2,ug/m3 LC,0.04,ppm
04/30/2019,0.3,ppm,10.7,ug/m3 LC,0.055,ppm
05/01/2019,0.3,ppm,13.2,ug/m3 LC,0.044,ppm
05/02/2019,0.2,ppm,6.6,ug/m3 LC,0.049,ppm
05/03/2019,0.2,ppm,6.4,ug/m3 LC,0.033,ppm
05/04/2019,0.2,ppm,4.9,ug/m3 LC,0.044,ppm
05/05/2019,0.2,ppm,2.5,ug/m3 LC,0.032,ppm
05/06/2019,0.2,ppm,2.4,ug/m3 LC,0.044,ppm
05/07/2019,0.3,ppm,6.2,ug/m3 LC,0.052,ppm
05/08/2019,0.3,ppm,6.6,ug/m3 LC,0.05,ppm
05/09/2019,0.2,ppm,2.5,ug/m3 LC,0.05,ppm
05/10/2019,0.2,ppm,3.8,ug/m3 LC,0.042,ppm
05/11/2019,0.3,ppm,4.3,ug/m3 LC,0.044,ppm
05/12/2019,0.3,ppm,2.7,ug/m3 LC,0.037,ppm
05/13/2019,0.2,ppm,2.8,ug/m3 LC,0.033,ppm
05/14/2019,0.1,ppm,3.5,ug/m3 LC,0.044,ppm
05/15/2019,0.3,ppm,4.8,ug/m3 LC,0.051,ppm
05/16/2019,0.3,ppm,7.2,ug/m3 LC,0.058,ppm
05/17/2019,0.4,ppm,11.2,ug/m3 LC,0.059,ppm
05/18/2019,0.4,ppm,11.5,ug/m3 LC,0.064,ppm
05/19/2019,0.4,ppm,13.2,ug/m3 LC,0.056,ppm
05/20/2019,0.3,ppm,6.7,ug/m3 LC,0.05,ppm
05/21/2019,0.3,ppm,6.7,ug/m3 LC,0.052,ppm
05/21/2019,0.3,ppm,6.5,ug/m3 LC,0.052,ppm
05/22/2019,0.2,ppm,6.6,ug/m3 LC,0.054,ppm
05/23/2019,0.3,ppm,9.8,ug/m3 LC,0.044,ppm
05/24/2019,0.3,ppm,12.5,ug/m3 LC,0.051,ppm
05/24/2019,0.3,ppm,11.8,ug/m3 LC,0.051,ppm
05/25/2019,0.3,ppm,10.6,ug/m3 LC,0.062,ppm
05/26/2019,0.3,ppm,12,ug/m3 LC,0.052,ppm
05/27/2019,0.3,ppm,7.4,ug/m3 LC,0.053,ppm
05/27/2019,0.3,ppm,6.4,ug/m3 LC,0.053,ppm
05/28/2019,0.4,ppm,11.5,ug/m3 LC,0.059,ppm
05/29/2019,0.4,ppm,11.5,ug/m3 LC,0.05,ppm
05/30/2019,0.3,ppm,11.4,ug/m3 LC,0.058,ppm
05/30/2019,0.3,ppm,11.6,ug/m3 LC,0.058,ppm
05/31/2019,0.3,ppm,11.5,ug/m3 LC,0.056,ppm
06/01/2019,0.3,ppm,6.7,ug/m3 LC,0.053,ppm
06/02/2019,0.3,ppm,10.5,ug/m3 LC,0.06,ppm
06/02/2019,0.3,ppm,11.5,ug/m3 LC,0.06,ppm
06/03/2019,0.3,ppm,12.5,ug/m3 LC,0.054,ppm
06/04/2019,0.2,ppm,7.5,ug/m3 LC,0.06,ppm
06/05/2019,0.3,ppm,12.2,ug/m3 LC,0.051,ppm
06/05/2019,0.3,ppm,12.9,ug/m3 LC,0.051,ppm
06/06/2019,0.3,ppm,11.7,ug/m3 LC,0.054,ppm
06/07/2019,0.3,ppm,7.8,ug/m3 LC,0.034,ppm
06/08/2019,0.2,ppm,5.1,ug/m3 LC,0.035,ppm
06/08/2019,0.2,ppm,4.2,ug/m3 LC,0.035,ppm
06/09/2019,0.2,ppm,2.6,ug/m3 LC,0.027,ppm
06/10/2019,0.2,ppm,2.6,ug/m3 LC,0.031,ppm
06/11/2019,0.2,ppm,3.7,ug/m3 LC,0.04,ppm
06/11/2019,0.2,ppm,3.1,ug/m3 LC,0.04,ppm
06/12/2019,0.2,ppm,5,ug/m3 LC,0.04,ppm
06/13/2019,0.2,ppm,3.9,ug/m3 LC,0.042,ppm
06/14/2019,0.3,ppm,3.7,ug/m3 LC,0.048,ppm
06/14/2019,0.3,ppm,2.7,ug/m3 LC,0.048,ppm
06/15/2019,0.5,ppm,9.4,ug/m3 LC,0.056,ppm
06/16/2019,0.3,ppm,9.2,ug/m3 LC,0.048,ppm
06/17/2019,0.3,ppm,12.7,ug/m3 LC,0.042,ppm
06/17/2019,0.3,ppm,11.4,ug/m3 LC,0.042,ppm
06/18/2019,0.2,ppm,5.7,ug/m3 LC,0.033,ppm
06/19/2019,0.2,ppm,3.8,ug/m3 LC,0.035,ppm
06/20/2019,0.2,ppm,7.5,ug/m3 LC,0.047,ppm
06/20/2019,0.2,ppm,5.8,ug/m3 LC,0.047,ppm
06/21/2019,0.3,ppm,2.8,ug/m3 LC,0.05,ppm
06/22/2019,0.4,ppm,7.4,ug/m3 LC,0.042,ppm
06/23/2019,0.3,ppm,9.3,ug/m3 LC,0.042,ppm
06/23/2019,0.3,ppm,9.3,ug/m3 LC,0.042,ppm
06/24/2019,0.3,ppm,11.6,ug/m3 LC,0.047,ppm
06/25/2019,0.2,ppm,5,ug/m3 LC,0.047,ppm
06/26/2019,0.3,ppm,8.2,ug/m3 LC,0.053,ppm
06/26/2019,0.3,ppm,7.2,ug/m3 LC,0.053,ppm
06/27/2019,0.5,ppm,10.7,ug/m3 LC,0.063,ppm
06/28/2019,0.3,ppm,12.5,ug/m3 LC,0.068,ppm
06/29/2019,0.3,ppm,13.7,ug/m3 LC,0.063,ppm
06/29/2019,0.3,ppm,12.8,ug/m3 LC,0.063,ppm
06/30/2019,0.3,ppm,10.7,ug/m3 LC,0.057,ppm
07/01/2019,0.2,ppm,8,ug/m3 LC,0.049,ppm
07/02/2019,0.3,ppm,10.2,ug/m3 LC,0.064,ppm
07/02/2019,0.3,ppm,8.7,ug/m3 LC,0.064,ppm
07/03/2019,0.3,ppm,6.7,ug/m3 LC,0.06,ppm
07/04/2019,0.3,ppm,NA,NA,0.055,ppm
07/05/2019,0.2,ppm,10.3,ug/m3 LC,0.054,ppm
07/06/2019,0.2,ppm,NA,NA,0.043,ppm
07/07/2019,0.2,ppm,NA,NA,0.039,ppm
07/08/2019,0.2,ppm,8.3,ug/m3 LC,0.046,ppm
07/09/2019,0.2,ppm,5.6,ug/m3 LC,0.041,ppm
07/10/2019,0.2,ppm,7.1,ug/m3 LC,0.051,ppm
07/11/2019,0.2,ppm,7.7,ug/m3 LC,0.041,ppm
07/11/2019,0.2,ppm,5.7,ug/m3 LC,0.041,ppm
07/12/2019,0.2,ppm,5.9,ug/m3 LC,0.046,ppm
07/13/2019,0.2,ppm,7.8,ug/m3 LC,0.051,ppm
07/14/2019,0.3,ppm,10.2,ug/m3 LC,0.054,ppm
07/14/2019,0.3,ppm,8.6,ug/m3 LC,0.054,ppm
07/15/2019,0.4,ppm,10.5,ug/m3 LC,0.054,ppm
07/16/2019,0.4,ppm,13,ug/m3 LC,0.057,ppm
07/17/2019,0.3,ppm,16.2,ug/m3 LC,0.044,ppm
07/17/2019,0.3,ppm,16.5,ug/m3 LC,0.044,ppm
07/18/2019,0.2,ppm,8,ug/m3 LC,0.045,ppm
07/19/2019,0.3,ppm,7.7,ug/m3 LC,0.047,ppm
07/20/2019,0.3,ppm,8.6,ug/m3 LC,0.047,ppm
07/20/2019,0.3,ppm,7.8,ug/m3 LC,0.047,ppm
07/21/2019,0.3,ppm,7.6,ug/m3 LC,0.041,ppm
07/22/2019,0.2,ppm,6.3,ug/m3 LC,0.041,ppm
07/23/2019,0.2,ppm,4.2,ug/m3 LC,0.03,ppm
07/23/2019,0.2,ppm,6.2,ug/m3 LC,0.03,ppm
07/24/2019,0.2,ppm,8,ug/m3 LC,0.039,ppm
07/25/2019,0.2,ppm,8.2,ug/m3 LC,0.049,ppm
07/26/2019,0.3,ppm,9.6,ug/m3 LC,0.051,ppm
07/26/2019,0.3,ppm,9.8,ug/m3 LC,0.051,ppm
07/27/2019,0.3,ppm,11.2,ug/m3 LC,0.051,ppm
07/28/2019,0.4,ppm,12.5,ug/m3 LC,0.057,ppm
07/29/2019,0.3,ppm,12.8,ug/m3 LC,0.061,ppm
07/29/2019,0.3,ppm,14.4,ug/m3 LC,0.061,ppm
07/30/2019,0.3,ppm,11.8,ug/m3 LC,0.061,ppm
07/31/2019,0.3,ppm,10,ug/m3 LC,0.057,ppm
08/01/2019,0.3,ppm,8.9,ug/m3 LC,0.059,ppm
08/01/2019,0.3,ppm,9.2,ug/m3 LC,0.059,ppm
08/02/2019,0.2,ppm,6,ug/m3 LC,0.05,ppm
08/03/2019,0.3,ppm,5.8,ug/m3 LC,0.034,ppm
08/04/2019,0.4,ppm,8.3,ug/m3 LC,0.045,ppm
08/04/2019,0.4,ppm,8.2,ug/m3 LC,0.045,ppm
08/05/2019,0.3,ppm,6.4,ug/m3 LC,0.038,ppm
08/06/2019,0.3,ppm,5.8,ug/m3 LC,0.051,ppm
08/07/2019,0.3,ppm,11.1,ug/m3 LC,0.048,ppm
08/07/2019,0.3,ppm,9.7,ug/m3 LC,0.048,ppm
08/08/2019,0.4,ppm,6.2,ug/m3 LC,0.054,ppm
08/09/2019,0.5,ppm,8.4,ug/m3 LC,0.061,ppm
08/10/2019,0.5,ppm,10.4,ug/m3 LC,0.055,ppm
08/10/2019,0.5,ppm,9,ug/m3 LC,0.055,ppm
08/11/2019,0.3,ppm,8.6,ug/m3 LC,0.049,ppm
08/12/2019,0.3,ppm,8.9,ug/m3 LC,0.052,ppm
08/13/2019,0.3,ppm,9.3,ug/m3 LC,0.043,ppm
08/13/2019,0.3,ppm,6.5,ug/m3 LC,0.043,ppm
08/14/2019,0.3,ppm,4.8,ug/m3 LC,0.054,ppm
08/15/2019,0.3,ppm,7.9,ug/m3 LC,0.055,ppm
08/16/2019,0.3,ppm,6.3,ug/m3 LC,0.043,ppm
08/16/2019,0.3,ppm,4.5,ug/m3 LC,0.043,ppm
08/17/2019,0.2,ppm,3.7,ug/m3 LC,0.043,ppm
08/18/2019,0.3,ppm,5.3,ug/m3 LC,0.048,ppm
08/19/2019,0.3,ppm,9.9,ug/m3 LC,0.05,ppm
08/19/2019,0.3,ppm,8.5,ug/m3 LC,0.05,ppm
08/19/2019,0.3,ppm,7.6,ug/m3 LC,0.05,ppm
08/20/2019,0.3,ppm,6.8,ug/m3 LC,0.04,ppm
08/21/2019,0.2,ppm,3.5,ug/m3 LC,0.045,ppm
08/22/2019,0.3,ppm,7.8,ug/m3 LC,0.046,ppm
08/22/2019,0.3,ppm,6,ug/m3 LC,0.046,ppm
08/23/2019,0.3,ppm,4,ug/m3 LC,0.041,ppm
08/24/2019,0.2,ppm,2.7,ug/m3 LC,0.025,ppm
08/25/2019,0.2,ppm,5.2,ug/m3 LC,0.036,ppm
08/25/2019,0.2,ppm,5.5,ug/m3 LC,0.036,ppm
08/25/2019,0.2,ppm,2.8,ug/m3 LC,0.036,ppm
08/26/2019,0.2,ppm,1.4,ug/m3 LC,0.027,ppm
08/27/2019,0.2,ppm,2.1,ug/m3 LC,0.032,ppm
08/28/2019,0.3,ppm,5.5,ug/m3 LC,0.04,ppm
08/28/2019,0.3,ppm,3.3,ug/m3 LC,0.04,ppm
08/29/2019,0.3,ppm,3,ug/m3 LC,0.053,ppm
09/03/2019,0.3,ppm,8.1,ug/m3 LC,0.042,ppm
09/03/2019,0.3,ppm,4,ug/m3 LC,0.042,ppm
09/04/2019,0.3,ppm,6.9,ug/m3 LC,0.028,ppm
09/05/2019,0.2,ppm,NA,NA,NA,NA
09/06/2019,0.5,ppm,NA,NA,0.048,ppm
09/07/2019,0.5,ppm,8.7,ug/m3 LC,0.056,ppm
09/07/2019,0.5,ppm,8,ug/m3 LC,0.056,ppm
09/08/2019,0.4,ppm,11.7,ug/m3 LC,0.045,ppm
09/09/2019,0.3,ppm,14.2,ug/m3 LC,0.035,ppm
09/09/2019,0.3,ppm,14.6,ug/m3 LC,0.035,ppm
09/09/2019,0.3,ppm,12.7,ug/m3 LC,0.035,ppm
09/10/2019,0.3,ppm,8.1,ug/m3 LC,0.041,ppm
09/11/2019,0.3,ppm,10,ug/m3 LC,0.056,ppm
09/12/2019,0.4,ppm,15.4,ug/m3 LC,0.062,ppm
09/12/2019,0.4,ppm,15.4,ug/m3 LC,0.062,ppm
09/12/2019,0.4,ppm,13.8,ug/m3 LC,0.062,ppm
09/13/2019,0.4,ppm,9.5,ug/m3 LC,0.043,ppm
09/14/2019,0.3,ppm,4.9,ug/m3 LC,0.035,ppm
09/15/2019,0.4,ppm,9.2,ug/m3 LC,0.034,ppm
09/15/2019,0.4,ppm,7,ug/m3 LC,0.034,ppm
09/16/2019,0.3,ppm,6.3,ug/m3 LC,0.044,ppm
09/17/2019,0.3,ppm,6.8,ug/m3 LC,0.044,ppm
09/18/2019,0.2,ppm,5.1,ug/m3 LC,0.045,ppm
09/18/2019,0.2,ppm,5.2,ug/m3 LC,0.045,ppm
09/18/2019,0.2,ppm,3,ug/m3 LC,0.045,ppm
09/19/2019,0.2,ppm,2.5,ug/m3 LC,0.039,ppm
09/20/2019,0.4,ppm,5.1,ug/m3 LC,0.048,ppm
09/21/2019,0.4,ppm,9.5,ug/m3 LC,0.052,ppm
09/21/2019,0.4,ppm,8.2,ug/m3 LC,0.052,ppm
09/22/2019,0.4,ppm,9.5,ug/m3 LC,0.049,ppm
09/23/2019,0.2,ppm,9.2,ug/m3 LC,0.053,ppm
09/24/2019,0.2,ppm,7.5,ug/m3 LC,0.052,ppm
09/24/2019,0.2,ppm,7.4,ug/m3 LC,0.052,ppm
09/24/2019,0.2,ppm,7.2,ug/m3 LC,0.052,ppm
09/25/2019,0.3,ppm,7.8,ug/m3 LC,0.052,ppm
09/26/2019,0.3,ppm,10.9,ug/m3 LC,0.058,ppm
09/27/2019,0.3,ppm,10.7,ug/m3 LC,0.05,ppm
09/27/2019,0.3,ppm,9.3,ug/m3 LC,0.05,ppm
09/28/2019,0.3,ppm,7.5,ug/m3 LC,0.044,ppm
09/29/2019,0.3,ppm,10.7,ug/m3 LC,0.051,ppm
09/30/2019,0.2,ppm,11.2,ug/m3 LC,0.048,ppm
09/30/2019,0.2,ppm,11.4,ug/m3 LC,0.048,ppm
09/30/2019,0.2,ppm,10.4,ug/m3 LC,0.048,ppm
10/01/2019,0.3,ppm,8.9,ug/m3 LC,0.05,ppm
10/02/2019,0.4,ppm,12.9,ug/m3 LC,0.064,ppm
10/03/2019,0.4,ppm,12.6,ug/m3 LC,0.066,ppm
10/03/2019,0.4,ppm,10.7,ug/m3 LC,0.066,ppm
10/04/2019,0.4,ppm,11.1,ug/m3 LC,0.051,ppm
10/05/2019,0.2,ppm,2.7,ug/m3 LC,0.031,ppm
10/06/2019,0.2,ppm,5.7,ug/m3 LC,0.037,ppm
10/06/2019,0.2,ppm,5.6,ug/m3 LC,0.037,ppm
10/06/2019,0.2,ppm,4,ug/m3 LC,0.037,ppm
10/07/2019,0.2,ppm,2.9,ug/m3 LC,0.039,ppm
10/08/2019,0.2,ppm,2.7,ug/m3 LC,0.03,ppm
10/09/2019,0.2,ppm,4.4,ug/m3 LC,0.031,ppm
10/09/2019,0.2,ppm,2.4,ug/m3 LC,0.031,ppm
10/10/2019,0.3,ppm,3,ug/m3 LC,0.038,ppm
10/11/2019,0.4,ppm,2.5,ug/m3 LC,0.045,ppm
10/12/2019,0.6,ppm,6.7,ug/m3 LC,0.049,ppm
10/12/2019,0.6,ppm,6.9,ug/m3 LC,0.049,ppm
10/12/2019,0.6,ppm,6.3,ug/m3 LC,0.049,ppm
10/13/2019,0.5,ppm,6.6,ug/m3 LC,0.029,ppm
10/14/2019,0.5,ppm,5.5,ug/m3 LC,0.043,ppm
10/15/2019,0.6,ppm,8.7,ug/m3 LC,0.047,ppm
10/15/2019,0.6,ppm,7.4,ug/m3 LC,0.047,ppm
10/16/2019,0.5,ppm,5.5,ug/m3 LC,0.034,ppm
10/17/2019,0.2,ppm,2,ug/m3 LC,0.037,ppm
10/18/2019,0.6,ppm,4.1,ug/m3 LC,0.039,ppm
10/18/2019,0.6,ppm,4.2,ug/m3 LC,0.039,ppm
10/18/2019,0.6,ppm,2.9,ug/m3 LC,0.039,ppm
10/19/2019,0.8,ppm,7,ug/m3 LC,0.038,ppm
10/20/2019,0.2,ppm,NA,NA,0.034,ppm
10/21/2019,0.2,ppm,3.7,ug/m3 LC,0.034,ppm
10/22/2019,0.2,ppm,3.6,ug/m3 LC,0.023,ppm
10/23/2019,0.5,ppm,2.9,ug/m3 LC,0.039,ppm
10/24/2019,0.6,ppm,5.5,ug/m3 LC,0.042,ppm
10/24/2019,0.6,ppm,5.8,ug/m3 LC,0.042,ppm
10/24/2019,0.6,ppm,4.2,ug/m3 LC,0.042,ppm
10/25/2019,0.6,ppm,7.5,ug/m3 LC,0.04,ppm
10/26/2019,0.6,ppm,7.2,ug/m3 LC,0.041,ppm
10/27/2019,0.2,ppm,3.9,ug/m3 LC,0.023,ppm
